EGFF;51.396667;-3.343333
EGGD;51.382500;-2.718889
EGGW;51.874722;-0.368333
EGKK;51.148056;-0.190278
EGLF;51.275833;-0.776389
EGLL;51.477501;-0.461389
EGNM;53.865833;-1.660556
EGNT;55.037224;-1.691667
EGSS;51.884998;0.235000
EHAM;52.308056;4.764167
EHRD;51.956944;4.437222
EIDW;53.421112;-6.270000
EINN;52.701946;-8.924723
EKCH;55.618057;12.656111
ELLX;49.624168;6.205555
ENGM;60.202778;11.083889
EPGD;54.378056;18.468056
EPKT;50.474167;19.080000
EPWA;52.165833;20.967222
ESGG;57.663055;12.282778
ESSA;59.652500;17.921944
EVRA;56.923611;23.971111
HECA;30.121944;31.405556
HEGN;27.178612;33.800835
HKJK;-1.318611;36.925835
KATL;33.633335;-84.433334
KJFK;40.640278;-73.778336
LATI;41.412224;19.716667
LBSF;42.695000;23.408333
LBWN;43.233334;27.825001
LCLK;34.878887;33.630280
LDDU;42.561390;18.268333
LDRI;45.216946;14.570278
LDSP;43.538887;16.298056
LDZA;45.743057;16.068890
LDZD;44.108334;15.346666
LEBL;41.296944;2.078333
LEGE;41.900833;2.760556
LEIB;38.872776;1.373056
LEMD;40.472221;-3.560833
LEMG;36.674999;-4.499166
LEPA;39.551666;2.738889
LFLL;45.725555;5.081111
LFMD;43.549999;6.950000
LFMN;43.665279;7.215000
LFPB;48.969444;2.441389
LFPG;49.009724;2.547778
LFPO;48.723331;2.379444
LFRS;47.156944;-1.607778
LFSB;47.590000;7.529167
LFTZ;43.206390;6.482500
LGAV;37.936668;23.944445
LGIR;35.338055;25.177500
LGKF;38.121113;20.501112
LGKR;39.607498;19.911112
LGMK;37.438332;25.347778
LGRP;36.405556;28.086945
LGRX;38.150002;21.416666
LGSA;35.532223;24.151667
LGSK;39.178333;23.504168
LGSM;37.690277;26.912777
LGSR;36.400002;25.466667
LGZA;37.752224;20.884722
LHBP;47.439445;19.261944
LIBD;41.137501;16.764999
LIBR;40.658054;17.946667
LIBV;40.766666;16.933332
LICA;38.907776;16.241667
LICC;37.467777;15.064722
LICG;36.813610;11.966111
LICJ;38.183334;13.100000
LICT;37.911667;12.486389
LIEE;39.246387;9.057222
LIEO;40.898056;9.518056
LIMC;45.630833;8.724167
LIME;45.669998;9.701389
LIML;45.450279;9.279445
LIPA;46.031666;12.598333
LIPE;44.530556;11.292500
LIPH;45.651669;12.198889
LIPK;44.195000;12.069722
LIPL;45.433334;10.266666
LIPQ;45.826668;13.472222
LIPR;44.020832;12.612223
LIPX;45.395279;10.887500
LIPY;43.615276;13.362500
LIPZ;45.500000;12.350000
LIRA;45.296112;13.028889
LIRF;41.811111;12.252500
LIRN;40.883335;14.288889
LIRP;43.699722;10.394444
LIRQ;43.809723;11.203889
LJLJ;46.224445;14.456111
LKPR;50.101665;14.261111
LLBG;32.010555;34.877224
LMML;35.866665;14.483334
LOWW;48.110279;16.569723
LPPT;38.774166;-9.134167
LQSA;43.824722;18.331667
LRBS;44.503334;26.100000
LRCK;44.361668;28.490000
LROP;44.558334;26.086666
LSGG;46.238056;6.108889
LSZA;46.003613;8.910277
LSZH;47.458332;8.548056
LSZS;46.534443;9.883889
LTAC;40.128334;32.995277
LTAI;36.900276;30.792778
LTBA;40.976112;28.814167
LTBJ;38.289165;27.155001
LTFE;37.247223;27.681389
LTFJ;40.898335;29.309166
LYPG;42.359444;19.251944
LYTV;42.404999;18.723333
LZIB;48.169998;17.212778
OEJN;21.681110;39.155277
OERK;24.966667;46.700001
OJAI;31.722500;35.993332
OKBK;29.216667;47.966667
OLBA;33.820557;35.489166
OMAA;24.433332;54.650002
OMDB;25.249166;55.360001
OTBD;25.266666;51.566666
RJAA;35.758335;140.378326
UKCC;48.073334;37.740002
UKLL;49.811668;23.955000
ULLI;59.799999;30.264999
UMMS;53.882500;28.032499
UUEE;55.966667;37.416668
UUWW;55.598331;37.275002
XXXX;45.279446;13.012222
ZSPD;31.133333;121.783333
